i,j,parameter
12,14,-0.39965879917144775
1,6,-0.9008173942565918
3,12,0.5001685619354248
3,14,-0.8989639282226562
16,22,0.9250259399414062
6,10,-0.03557932376861572
14,16,-0.9568941593170166
2,12,0.17518746852874756
16,17,-0.9295299053192139
13,16,0.42602992057800293
4,23,0.27358555793762207
8,15,-0.7361025810241699
14,12,-0.6813759803771973
6,1,-0.8948765993118286
12,3,0.33780813217163086
14,3,0.38361990451812744
22,16,-0.6976563930511475
10,6,0.4199836254119873
16,14,-0.830681562423706
12,2,0.7193334102630615
17,16,0.10480856895446777
16,13,-0.007592320442199707
23,4,-0.3033400774002075
15,8,-0.6157892942428589
-1,-1,0.7126714587211609
